"HolderAddress","Balance","PendingBalanceUpdate"
"0xcc915ecd15b892c8e4ab919fe985a9ef31d3370c","22033169679588.5","No"
"0x000000000000000000000000000000000000dead","553927809868225","No"
"0x781075632af12111ca0955e03184631db525c3f4","12116428948734.8","No"
"0x8c08ffaa24a87b2ce43eef713dc2cee51461df6e","12699007692894","No"
"0xc549117c90b957b5537fef4148ce3ca117ceb3c8","12833207167257.3","No"
"0xf2edf57cbfbe611011fee3cef3a81c070a07157d","12968449372879.6","No"
"0xa76b45ce3b52fc8f181caab00a244cf443bf7b80","12871298356211.5","No"
"0x35eb6760c60e345c7144d3409bc620003a62ce3d","12731530846466.1","No"
"0x0b55f7037c85796ad28ba59138515adaf7a28701","16445076541246.8","No"
"0x0df82d7bd8d15c84727c13b60cc78a46f83933d7","19784851542465.9","No"
"0x4990a05d92de5b16ea9ee4a2a34d400be2d9e5da","10465040490393","No"
"0xe070436ee99592037faf506401cfed8fa3172a25","12880575674972.7","No"
"0xc466795ab2e22c9b551726371aa1c781aa6edbca","8471635276133.25","No"
"0x2d579bf7dd5bd33dbdfb7973159960cc4ef0ce55","15187211247362.2","No"
"0x6e0d9bca000f659c2efa7b086c4d39eedca10669","14330305580924.8","No"
"0x98e7c0535946848c11dae3b12fbbdbf74cf05782","13057300454483.6","No"
"0x26b83ebfc4c2ab23dcbb86b6fca774fcd5815ccf","6132518766595.57","No"
"0xee4c2569d7782621f7b0528dbc87a72c1237fc2c","12292240508921.5","No"
"0x503f43cfea5c4efa0ce186c531fc0df509923b1a","13067475789211.1","No"
"0x90d59a4fa33d6ea31ca7f0b39be1ec476900bf63","13063050335510.3","No"
"0x2a6d9b41d8b02c72d2d658efcc2e3c3047593d62","15228671431710.6","No"
"0x7f3322fbf0c98899c0cc29fde66fe926db2c6855","12871842897653.9","No"
"0x6551167e4a0085f142821fca7023907ceb9a39bf","32155372874283","No"
"0xd6317bd39902d54a41bfc3efc2200f0f2e02ff7b","25981461354.6399","No"
"0x22048cad67e6f86f7edbed1b4c25022daacb2a94","6167919368430.79","No"
"0x603d170265a23688f7e29742d686dbd2a5934e3f","2.0076E-05","No"
"0xa3ef89657501b76809e391fe7ce1c1adb59933d5","5600045090053.03","No"
"0xfb8e88409029697e59a11c14783ccbf224eded42","7679679269.36038","No"
"0x4ebfe601c409ecb10c802a358631697ac04c5dc3","6682322802880.38","No"
"0xcc0e9ad933c75e4305392c812e72d6077ea4cec6","16108663.3601926","No"
"0xc240f9cedf9121503e659a03ecd7898c7d7e152b","71751.110631366","No"
"0x4372f1c068a22111d4de7e0e61ab328b54f8813e","1013144653435.82","No"
"0xf707a6cd67729c9a7d9c150743839136f386f414","3678.781941763","No"
"0x260606507308a67b28e4001f948aaf3df8dae0fb","3611894.93256844","No"
"0xdef23449c18e59c2bb670d862c1ec2c4ebe352eb","3313363309728.18","No"
"0xdcc167fc15c33cee499596e4d57369b565a40e6c","19615.954949354","No"
"0xbe8b396e6c83ef643f01941d73f7326f32fd269f","434352004758.713","No"
"0xa8dc878b00bf0f4df3d0146fab3e8934ddb72246","19236478.2125091","No"
"0x80f181816c0ff3cfb901a3204f9bf1242002d9c2","1657676128.31484","No"
"0xa9c8389a1f8d7af204e845bb29638bc667f2ea58","206.890904723","No"
"0xde5e666362986691efbf71cbfe3c4337ce9d07ec","1725777.75890286","No"
"0x9895c1d2176f4762fa926dd0ce6255a45fb5df08","0.162109442","No"
"0xb8eaa7c4e5ef90489c2f2e1a7ed2524c0785715f","1456666894934.52","No"
"0x1f7eca0895563c55b5e3bf85ad42191094892988","259.989897851","No"
"0x39deedf769e2abe08a973b7fe5d9c19ec8c0ac71","205087255586.567","No"
"0x2604b4c73045df37e51b883e00c6e3324af92e36","26500.999999249","No"
"0xdb95201151b619324be0c6285f1b2d2660b19b94","1058.599017454","No"
"0xbb3b377a4b042c41cc17960df92753d1936d25b2","8460544.15714747","No"
"0x2b25f8c7bf054ae9b07d14b6efeeff2610bf25f0","6376730533171.96","No"
"0xd6d0d04185d3d99cb41d7a7563ce7689ac278fcb","2000007860136.69","No"
"0xdff61655421fd56b50fdbeb2fb1ec086bf1ee3f4","308659.125329165","No"
"0x1fdeb8976bcd221ef75208f5d0289ff35effbd6a","31825772.5409759","No"
"0x8852df37aea703c627992a7b68dca36213156d45","577759.394955728","No"
"0x665bde438d24edc82900bcb13fe96d50275f4986","42060302287.6089","No"
"0xb50404b0a365f3f69859d71fd414529a831c6146","5039276872487.83","No"
"0xc0e023aca83d0920de74924e3c77f302a26bc40a","421218833.993597","No"
"0x8b7f3042bd16fdc37e792fcc8f39fd517c00fbb3","651256057483.144","No"
"0x010389b3f9da8212ffbe8cce27b24f570223b94c","3540632.37595038","No"
"0xfe91969167d81c80cbda363d41d143645441beff","1256549708500.99","No"
"0x66dc991c493f63292ec6553b97f8453ed685bf66","21279072868.3384","No"
"0x5c9a7b1022aee202b7327bd46a23b76495793600","0.485734623","No"
"0xa76e565e2910174f88d21e5430b83877a94ba76a","12000604592.6671","No"
"0x817c00c2ba41140b47f0323368b8f2357665789d","5E-09","No"
"0x929affcf249bcf248ad5b2baff67b8b5ac9c5838","11175035.7409903","No"
"0x03bd77990f28a2393792fa111e553f4665121c88","499531.184996067","No"
"0xdcb0f54e19c47c1733db22a1711c64e62c0a1842","2900.63867193","No"
"0x429fe8043d6964b97ac62b582149220583a9dc76","204304.161200991","No"
"0x11ebc77280565db0a7de6a72ef383b76b1a6d611","965937.330370927","No"
"0xfe4d11dc01c8bc514c2d28af16a3a8a5dc55e5f1","37153.006751517","No"
"0x8651bc27e56e807add210e8e5c91b27e40872580","2552579952211.8","No"
"0xfd6b3b7b001106ddcb327863c5ebc9a41910de6a","135543910935.08","No"
"0xa2c2149a0bf2ea0fe16641191f3de1e08ba55496","5937355.57253305","No"
"0xb51799758f4e224ab56c8a09b06e8cdae9168ebd","296756.24499792","No"
"0xc893c5d1922f18cb9eaeb099fb0dc47dba5cd6ed","553685791255.609","No"
"0x16427390daf156369164fc6b10abd449efd8628f","88234.035301424","No"
"0x472ad01f53deac684c2eb7ed18cf8a32a625616d","5464648664.05171","No"
"0x8fe3ad6de766ebe60629a3972298a1f7304557f1","6057307.15386498","No"
"0x89e793eec69162a6b53426e7e2a05aa8b6f25adc","11305463930961.2","No"
"0x0a57a1af51034175a5764c513a36588230d6ae45","46665985.2048257","No"
"0x558da907b847d1cbd953e6500c6820e4384f54fc","15328320.1110176","No"
"0x13c04f244351cc6218d36eab681c24946bf0932a","237092.373666622","No"
"0xa5460fe53ff0c9db64a6c8499d42c26dcfca5138","67358960.8642825","No"
"0xad9782ef5ef92b6b761e02a5e6a888a2711ef7dd","52936.922251747","No"
"0x200bd838700b4be86cbe19fcf7fa94082c3e624f","82513362562.6124","No"
"0x4fa07d0d11697788be4b5400db6f51f9a0c8efed","2684980.4102159","No"
"0x673ca45b656bbcdfdcf014271bec1d022df28d60","182226.302387542","No"
"0xa3b4817245ce62dc062672110d873f70325c26cb","342382.258202938","No"
"0xa1766ecf7095a4bb1d151fcd76d5d8c7ba992362","8614054.15837701","No"
"0xd2039bb52d2e1e0eec796cb77925bf15a5db8f8d","49379087887.6934","No"
"0x866d058f2ce9da04138227f1e8d06c3f3e5604af","3111359.54607073","No"
"0x4c9f85182da81fe5a3e668418fea4907a6645953","27000135167.2596","No"
"0x1c301c40b8c99b51c4e8863eb0ab0f5f8a734a4e","83784089.7557551","No"
"0x2292ff6949fc8fa49cc235083dc42209e20e784e","8E-09","No"
"0x98bfce454a6f4f7fe302658964ad7b0be292c522","4.64E-07","No"
"0xd764e78356a260a8669960826b2048e7637114e6","534989.18375919","No"
"0x37989212cd0104005ff0413a73990f7d5b43edd2","4808.995122476","No"
"0xdd8af07457a53f3d65eab6e256bef93a14eb046f","33121045.4498476","No"
"0xabc07c95a0720d51ce5f5038db221825683fe2c6","757204.632591136","No"
"0xef380b8713db833b283463528dfdeeab5b41cbbe","42381.796414118","No"
"0x21e8e64e6633508805a78cf9283c0b4b0e15117c","4249.314646549","No"
"0xd550ae905dcc2511fc6311272ee21467ccc321f1","381569.529820971","No"
"0x4a5c5f73cbe20ba2a6925a173520342c902b5b62","38400458037.7234","No"
"0x984cfa97bea6811b47bd7297eb4c86c79189043c","200000577.159659","No"
"0xaeb3def474b9813c3a5aef58ee36f9ec4284e21e","35572.527446803","No"
"0x1b4983fb5488b2a92097c4c8ac40501ddabc0c3b","126324.023788604","No"
"0x603aa6cf459c537add138170be4170c7679c37c9","1340313711.98156","No"
"0xcef4e7db574aa03a41b58375c94e20f2395fe7a6","10962.964667731","No"
"0x58df4c051bd699c86a17513ebbee42e946c63b75","1212515.06435907","No"
"0xd40326cb0b4eb15e675a29ecc909b9064c95ab93","509999.685053763","No"
"0x7da91d61ecd3da5071195e8a89229bf007647be8","132362.646963766","No"
"0xbc7d191d0d975ddff2fb87d2b9618a5067121535","140833540114.023","No"
"0xe1452a9e7d32eefa2dedaa5e01f18943c86bc676","1463016.82361543","No"
"0xc5e76237493ff8076b1f40a66ee13a6f840916da","2685878908.10478","No"
"0xdce351cd99bfb4771e5c0cc10dbc9d3dcd8f9ce4","63314.217080763","No"
"0xdc94cab37cf1cf03e092bf20917ce28692b2db66","1876.381615865","No"
"0x672c36fa22029369490bb5e33e6d16a7e1309c1e","26.940133012","No"
"0x6a2a29eda6c5313305f056cbb6bc579f1907259a","7246463382.22172","No"
"0xabc8aa3d1362d0f1282c2ef87e381009255d200b","51097.56143721","No"
"0xed30d06a207ba636fb4b5811e570c6be4e58126a","199685.036418337","No"
"0x59de13cd5e5636c63d9041950768fc6036833cdf","60134.200362755","No"
"0xdd47d7d19f42fb7b77ba194566c238c6edb83a30","531981.590850818","No"
"0x11413417e00ed9471ecf937161c7f65310bc64dc","103547691451.247","No"
